 time (at Rp)  nbod    mass/mp
  0.45600E+09    39   0.59746E-04
  0.45700E+09    40   0.59814E-04
  0.45800E+09    41   0.59834E-04
  0.45900E+09    41   0.59834E-04
  0.46000E+09    42   0.60204E-04
  0.46100E+09    42   0.60204E-04
  0.46200E+09    41   0.60506E-04
  0.46300E+09    40   0.60506E-04
  0.46400E+09    39   0.60828E-04
  0.46500E+09    40   0.61024E-04
  0.46600E+09    39   0.61024E-04
  0.46700E+09    39   0.61198E-04
  0.46800E+09    39   0.61198E-04
  0.46900E+09    40   0.61355E-04
  0.47000E+09    39   0.61355E-04
  0.47100E+09    38   0.56713E-04
  0.47200E+09    38   0.56713E-04
  0.47300E+09    39   0.56780E-04
  0.47400E+09    39   0.57000E-04
  0.47500E+09    38   0.57000E-04
  0.47600E+09    38   0.57087E-04
  0.47700E+09    38   0.57087E-04
  0.47800E+09    39   0.58967E-04
  0.47900E+09    38   0.58967E-04
  0.48000E+09    39   0.59215E-04
  0.48100E+09    39   0.59215E-04
  0.48200E+09    38   0.59302E-04
  0.48300E+09    38   0.59302E-04
  0.48400E+09    39   0.59551E-04
  0.48500E+09    39   0.59551E-04
  0.48600E+09    40   0.61048E-04
  0.48700E+09    37   0.56163E-04
  0.48800E+09    38   0.56187E-04
  0.48900E+09    38   0.56187E-04
  0.49000E+09    39   0.56210E-04
  0.49100E+09    39   0.56210E-04
  0.49200E+09    40   0.56351E-04
  0.49300E+09    39   0.56351E-04
  0.49400E+09    39   0.56438E-04
  0.49500E+09    39   0.56438E-04
  0.49600E+09    40   0.56478E-04
  0.49700E+09    40   0.56478E-04
  0.49800E+09    41   0.56673E-04
  0.49900E+09    41   0.56673E-04
  0.50000E+09    42   0.56710E-04
  0.50100E+09    41   0.56710E-04
  0.50200E+09    40   0.56716E-04
  0.50300E+09    39   0.48888E-04
  0.50400E+09    40   0.49062E-04
  0.50500E+09    40   0.49062E-04
  0.50600E+09    41   0.49189E-04
  0.50700E+09    41   0.49189E-04
  0.50800E+09    40   0.49616E-04
  0.50900E+09    40   0.49616E-04
  0.51000E+09    40   0.49696E-04
  0.51100E+09    40   0.49696E-04
  0.51200E+09    41   0.49916E-04
  0.51300E+09    41   0.49916E-04
  0.51400E+09    41   0.50091E-04
  0.51500E+09    41   0.50091E-04
  0.51600E+09    42   0.50588E-04
  0.51700E+09    43   0.50957E-04
  0.51800E+09    43   0.50957E-04
  0.51900E+09    42   0.52837E-04
  0.52000E+09    42   0.52837E-04
  0.52100E+09    43   0.52932E-04
  0.52200E+09    43   0.52932E-04
  0.52300E+09    42   0.53073E-04
  0.52400E+09    42   0.53073E-04
  0.52500E+09    43   0.53116E-04
  0.52600E+09    43   0.53116E-04
  0.52700E+09    42   0.53135E-04
  0.52800E+09    41   0.53135E-04
  0.52900E+09    42   0.53250E-04
  0.53000E+09    42   0.53250E-04
  0.53100E+09    41   0.47732E-04
  0.53200E+09    41   0.47732E-04
  0.53300E+09    40   0.48054E-04
  0.53400E+09    38   0.48054E-04
  0.53500E+09    37   0.48637E-04
  0.53600E+09    37   0.48637E-04
  0.53700E+09    38   0.48959E-04
  0.53800E+09    38   0.48959E-04
  0.53900E+09    39   0.49008E-04
  0.54000E+09    39   0.49008E-04
  0.54100E+09    40   0.49076E-04
  0.54200E+09    39   0.49076E-04
  0.54300E+09    40   0.49101E-04
  0.54400E+09    40   0.49101E-04
  0.54500E+09    41   0.49174E-04
  0.54600E+09    41   0.49174E-04
  0.54700E+09    42   0.49270E-04
  0.54800E+09    42   0.49270E-04
  0.54900E+09    43   0.49350E-04
  0.55000E+09    43   0.49350E-04
  0.55100E+09    44   0.49477E-04
  0.55200E+09    44   0.49477E-04
  0.55300E+09    45   0.49604E-04
  0.55400E+09    45   0.49604E-04
  0.55500E+09    45   0.49625E-04
  0.55600E+09    45   0.49625E-04
  0.55700E+09    44   0.49649E-04
  0.55800E+09    42   0.49649E-04
  0.55900E+09    41   0.49699E-04
  0.56000E+09    41   0.49699E-04
  0.56100E+09    42   0.49734E-04
  0.56200E+09    41   0.49734E-04
  0.56300E+09    42   0.50316E-04
  0.56400E+09    37   0.47017E-04
  0.56500E+09    37   0.47158E-04
  0.56600E+09    37   0.47158E-04
  0.56700E+09    38   0.47198E-04
  0.56800E+09    38   0.47198E-04
  0.56900E+09    39   0.47217E-04
  0.57000E+09    39   0.47217E-04
  0.57100E+09    40   0.47344E-04
  0.57200E+09    39   0.40295E-04
  0.57300E+09    39   0.42696E-04
  0.57400E+09    38   0.42696E-04
  0.57500E+09    39   0.43688E-04
  0.57600E+09    39   0.43688E-04
  0.57700E+09    39   0.43750E-04
  0.57800E+09    39   0.43750E-04
  0.57900E+09    40   0.43793E-04
  0.58000E+09    40   0.43793E-04
  0.58100E+09    40   0.43793E-04
  0.58200E+09    41   0.43950E-04
  0.58300E+09    40   0.36242E-04
  0.58400E+09    40   0.36369E-04
  0.58500E+09    40   0.36369E-04
  0.58600E+09    41   0.36392E-04
  0.58700E+09    41   0.36392E-04
  0.58800E+09    42   0.36427E-04
  0.58900E+09    41   0.36427E-04
  0.59000E+09    42   0.37010E-04
  0.59100E+09    42   0.37010E-04
  0.59200E+09    42   0.37150E-04
  0.59300E+09    40   0.37150E-04
  0.59400E+09    40   0.37150E-04
  0.59500E+09    40   0.37196E-04
  0.59600E+09    38   0.37196E-04
  0.59700E+09    39   0.37229E-04
  0.59800E+09    39   0.37229E-04
  0.59900E+09    39   0.37252E-04
  0.60000E+09    39   0.37252E-04
  0.60100E+09    40   0.38244E-04
  0.60200E+09    40   0.38244E-04
  0.60300E+09    41   0.38302E-04
  0.60400E+09    41   0.38302E-04
  0.60500E+09    41   0.32288E-04
  0.60600E+09    39   0.32288E-04
  0.60700E+09    39   0.32288E-04
  0.60800E+09    40   0.32715E-04
  0.60900E+09    38   0.32715E-04
  0.61000E+09    39   0.32742E-04
