 time (at Rp)  nbod    mass/mp
  0.31900E+09    54   0.76905E-04
  0.32000E+09    55   0.76924E-04
  0.32100E+09    55   0.76924E-04
  0.32200E+09    54   0.76977E-04
  0.32300E+09    54   0.77020E-04
  0.32400E+09    53   0.77020E-04
  0.32500E+09    53   0.77161E-04
  0.32600E+09    52   0.77161E-04
  0.32700E+09    53   0.77190E-04
  0.32800E+09    52   0.77230E-04
  0.32900E+09    52   0.77230E-04
  0.33000E+09    52   0.77371E-04
  0.33100E+09    50   0.77371E-04
  0.33200E+09    50   0.78868E-04
  0.33300E+09    51   0.79557E-04
  0.33400E+09    51   0.79557E-04
  0.33500E+09    49   0.79384E-04
  0.33600E+09    50   0.80881E-04
  0.33700E+09    49   0.80881E-04
  0.33800E+09    49   0.80961E-04
  0.33900E+09    49   0.80961E-04
  0.34000E+09    50   0.80982E-04
  0.34100E+09    51   0.81008E-04
  0.34200E+09    50   0.81008E-04
  0.34300E+09    50   0.81070E-04
  0.34400E+09    51   0.82062E-04
  0.34500E+09    51   0.82062E-04
  0.34600E+09    52   0.82095E-04
  0.34700E+09    52   0.82095E-04
  0.34800E+09    52   0.82168E-04
  0.34900E+09    53   0.82231E-04
  0.35000E+09    52   0.82231E-04
  0.35100E+09    51   0.82259E-04
  0.35200E+09    52   0.83757E-04
  0.35300E+09    52   0.83757E-04
  0.35400E+09    53   0.83830E-04
  0.35500E+09    50   0.83830E-04
  0.35600E+09    51   0.83935E-04
  0.35700E+09    51   0.84217E-04
  0.35800E+09    50   0.84217E-04
  0.35900E+09    49   0.84332E-04
  0.36000E+09    47   0.84332E-04
  0.36100E+09    48   0.84507E-04
  0.36200E+09    49   0.84549E-04
  0.36300E+09    49   0.84549E-04
  0.36400E+09    49   0.84603E-04
  0.36500E+09    50   0.84707E-04
  0.36600E+09    50   0.84707E-04
  0.36700E+09    50   0.84927E-04
  0.36800E+09    50   0.84927E-04
  0.36900E+09    50   0.84977E-04
  0.37000E+09    51   0.85030E-04
  0.37100E+09    49   0.85030E-04
  0.37200E+09    49   0.85352E-04
  0.37300E+09    48   0.85526E-04
  0.37400E+09    47   0.85526E-04
  0.37500E+09    48   0.85546E-04
  0.37600E+09    47   0.85546E-04
  0.37700E+09    48   0.86128E-04
  0.37800E+09    49   0.86244E-04
  0.37900E+09    49   0.86244E-04
  0.38000E+09    50   0.86281E-04
  0.38100E+09    50   0.86281E-04
  0.38200E+09    50   0.87104E-04
  0.38300E+09    51   0.88315E-04
  0.38400E+09    50   0.88315E-04
  0.38500E+09    51   0.88402E-04
  0.38600E+09    51   0.88402E-04
  0.38700E+09    51   0.88448E-04
  0.38800E+09    50   0.88448E-04
  0.38900E+09    50   0.88588E-04
  0.39000E+09    49   0.88588E-04
  0.39100E+09    49   0.90989E-04
  0.39200E+09    50   0.91812E-04
  0.39300E+09    49   0.91812E-04
  0.39400E+09    50   0.92239E-04
  0.39500E+09    50   0.92239E-04
  0.39600E+09    49   0.92366E-04
  0.39700E+09    49   0.92366E-04
  0.39800E+09    50   0.92453E-04
  0.39900E+09    51   0.92486E-04
  0.40000E+09    50   0.92486E-04
  0.40100E+09    50   0.94886E-04
  0.40200E+09    47   0.94886E-04
  0.40300E+09    47   0.96384E-04
  0.40400E+09    47   0.96384E-04
  0.40500E+09    47   0.96511E-04
  0.40600E+09    44   0.96511E-04
  0.40700E+09    44   0.96258E-04
  0.40800E+09    43   0.97469E-04
  0.40900E+09    43   0.97469E-04
  0.41000E+09    41   0.97506E-04
  0.41100E+09    41   0.97506E-04
  0.41200E+09    40   0.97529E-04
  0.41300E+09    40   0.97529E-04
  0.41400E+09    41   0.97591E-04
  0.41500E+09    41   0.97591E-04
  0.41600E+09    40   0.98280E-04
  0.41700E+09    41   0.10016E-03
  0.41800E+09    41   0.10016E-03
  0.41900E+09    42   0.10020E-03
  0.42000E+09    41   0.10020E-03
  0.42100E+09    42   0.10022E-03
  0.42200E+09    42   0.10022E-03
  0.42300E+09    43   0.10262E-03
  0.42400E+09    43   0.10266E-03
  0.42500E+09    42   0.10266E-03
  0.42600E+09    43   0.10298E-03
  0.42700E+09    42   0.10298E-03
  0.42800E+09    43   0.10301E-03
  0.42900E+09    42   0.10301E-03
  0.43000E+09    41   0.10333E-03
  0.43100E+09    41   0.10333E-03
  0.43200E+09    42   0.10338E-03
  0.43300E+09    42   0.10348E-03
  0.43400E+09    42   0.10348E-03
  0.43500E+09    41   0.10534E-03
  0.43600E+09    40   0.10534E-03
  0.43700E+09    41   0.10539E-03
  0.43800E+09    41   0.10539E-03
  0.43900E+09    41   0.10542E-03
  0.44000E+09    41   0.10544E-03
  0.44100E+09    40   0.10544E-03
  0.44200E+09    41   0.10546E-03
  0.44300E+09    40   0.10546E-03
  0.44400E+09    41   0.10568E-03
  0.44500E+09    41   0.10568E-03
  0.44600E+09    41   0.10580E-03
  0.44700E+09    40   0.10580E-03
  0.44800E+09    39   0.10570E-03
  0.44900E+09    40   0.10613E-03
  0.45000E+09    40   0.10613E-03
  0.45100E+09    41   0.10645E-03
  0.45200E+09    41   0.10645E-03
  0.45300E+09    41   0.10647E-03
  0.45400E+09    40   0.10641E-03
  0.45500E+09    40   0.10657E-03
  0.45600E+09    40   0.10657E-03
  0.45700E+09    38   0.10661E-03
  0.45800E+09    38   0.10671E-03
  0.45900E+09    38   0.10671E-03
  0.46000E+09    39   0.10673E-03
  0.46100E+09    38   0.10673E-03
  0.46200E+09    39   0.10772E-03
  0.46300E+09    39   0.10772E-03
  0.46400E+09    40   0.10841E-03
  0.46500E+09    41   0.10866E-03
  0.46600E+09    41   0.10866E-03
  0.46700E+09    42   0.10965E-03
  0.46800E+09    42   0.10965E-03
  0.46900E+09    43   0.10985E-03
  0.47000E+09    43   0.10985E-03
  0.47100E+09    44   0.10988E-03
  0.47200E+09    44   0.10988E-03
  0.47300E+09    44   0.10997E-03
